resp_id,aes_canton,aes_langreg,t0sex,t0fmedu_comp,t0immig,t1bqvalids,t2bqvalids,t3bqvalids,t1wt,t2wt,t3wt,t0hisei08_3q,t0wlem_3q,t0st_nprog_req3,t1educ_class_1_r,t2educ_class_1_r,t3educ_class_1_r
8012456,Geneva (GE),French,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,16.00500409678919,18.03772293820591,18.08664077959866,High,High,High requirements,Vocational baccalaureate //VET,Vocational baccalaureate //VET,Vocational baccalaureate //VET
8012457,Vaud (VD),French,Female,Upper secondary education,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,Valid response,28.78015632676823,29.51981566562963,28.19552983628119,Low,Low,Basic/low requirements,NET,3-4 years VET,3-4 years VET
8012458,Neuchâtel (NE),French,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,No valid response,not administered [wave],19.28034267013772,,,Medium,Low,Basic/low requirements,Other intermediate solution,,
8012460,Fribourg (FR),French,Male,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,6.322998286701403,5.15863083578032,4.426905677938888,High,Medium,Advanced requirements & Alternative/non-assignable study programme,Vocational baccalaureate //VET,Vocational baccalaureate //VET,Vocational baccalaureate //VET
8012461,Fribourg (FR),German,Female,Compulsory schooling only,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,Valid response,2.513194649416848,2.816307089570722,2.731708976564967,Low,Medium,Advanced requirements & Alternative/non-assignable study programme,NET,3-4 years VET,3-4 years VET
8012467,Schwyz (SZ),German,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,3.247493501418283,2.535579390375763,2.699845945068249,Low,High,Basic/low requirements,3-4 years VET,3-4 years VET,3-4 years VET
8012468,Neuchâtel (NE),French,Female,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,4.113670723388298,4.057991155788247,4.277919291284769,High,High,High requirements,General baccalaureate,General baccalaureate,General baccalaureate
8012470,Fribourg (FR),German,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,2.080819929317358,1.446301584658707,1.987449274599659,Low,Medium,High requirements,3-4 years VET,3-4 years VET,3-4 years VET
8012474,St. Gallen (SG),German,Female,Tertiary education,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,Valid response,5.705778874809366,7.075044083837047,6.847611011830509,High,Medium,Advanced requirements & Alternative/non-assignable study programme,General baccalaureate,General baccalaureate,General baccalaureate
8012483,Neuchâtel (NE),French,Female,Compulsory schooling only,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,7.083377360701247,6.389936024157796,9.705848843437515,Medium,Low,Basic/low requirements,Other intermediate solution,3-4 years VET,3-4 years VET
8012486,Nidwalden (NW),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,No valid response,No valid response,.0265761926301943,,,Low,Low,Basic/low requirements,3-4 years VET,,
8012492,St. Gallen (SG),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,not administered [wave],not administered [wave],.0638405568116545,,,Medium,Low,Basic/low requirements,3-4 years VET,,
8012493,Vaud (VD),French,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,68.43601443295969,62.55057913053056,75.14357094595189,Low,High,High requirements,3-4 years VET,3-4 years VET,3-4 years VET
8012496,Valais (VS),French,Male,Upper secondary education,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,No valid response,No valid response,.0167681177770811,,,Low,High,High requirements,General baccalaureate,,
8012499,Geneva (GE),French,Female,Upper secondary education,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,Valid response,19.75749812354407,17.79593163622899,20.4324270965233,Low,Low,High requirements,General baccalaureate,General baccalaureate,General baccalaureate
8012500,Basel-Stadt (BS),German,Male,Tertiary education,First generation (respondent and parent(s) born abroad),Valid response,Valid response,Valid response,20.44527128396289,17.3828353775017,20.95679111315666,High,Low,Advanced requirements & Alternative/non-assignable study programme,Other intermediate solution,Other intermediate solution,NET
8012501,Zug (ZG),German,Female,Upper secondary education,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,No valid response,5.879155296766446,4.60367885797619,,Low,Low,Advanced requirements & Alternative/non-assignable study programme,3-4 years VET,3-4 years VET,
