t1valids;t2valids;t3valids;t4valids;t5valids;t6valids;t7valids;t8valids;t9valids;t1baum;t2baum;t3baum;t4baum;t5baum;t6baum;t7baum;t8baum;t9baum;sex;reg_ling;typ3;wlerlev3;hiseineu3cat;fmedu;id;hr1_kal;hr2_kal;hr3_kal;hr4_kal;hr5_kal;hr6_kal;hr7_kal;hr8_kal;hr9_kal
1;1;1;0;0;0;0;0;0;2;2;7;;;;;;;1;1;1;2;1;1;54;6.816758525;7.37764941;9.371623192;;;;;;
1;1;1;1;1;1;1;1;1;4;4;6;6;4;8;8;8;8;2;2;1;2;3;3;55;12.24569934;11.04416533;10.42661626;8.733032158;8.312746868;7.39386184;5.622671707;5.928178731;5.106848048
1;1;1;1;1;1;1;1;1;4;4;6;6;6;6;4;7;1;2;2;1;2;2;2;56;5.721303715;5.071438392;4.912714304;4.581231078;4.926009799;4.480793467;3.567122153;3.796330348;3.413516463
1;1;1;1;1;1;1;1;1;4;4;6;4;8;8;8;1;8;1;1;1;3;1;3;57;6.879287763;6.842039352;6.964973705;6.966144317;6.806125118;6.810676985;6.465756693;6.088684014;5.414562479
1;0;1;1;1;1;1;1;1;3;;5;5;1;1;1;1;1;2;2;;2;1;2;58;4.122086959;4.691587446;5.570310419;4.951638735;4.301260406;4.686954437;4.448242826;6.086545365;3.455679482
1;1;0;1;1;0;1;1;0;1;1;;2;2;;2;3;;1;1;2;1;;1;59;19.49409898;21.71153539;28.4776986;58.57846265;58.92674601;74.42978689;117.2032819;229.8292264;294.4837441
1;1;1;1;1;1;1;1;1;4;4;6;6;8;8;8;1;8;1;2;;3;3;3;60;3.402608528;3.644088728;3.509878083;3.261282251;3.218060065;3.21654909;2.394602882;2.068756219;2.41902869
1;1;1;1;1;1;1;1;0;3;3;5;5;3;1;7;1;;2;1;1;3;2;3;61;8.873812426;8.810091719;9.692495882;10.88034676;12.79924979;13.76923392;13.010964;11.61264563;
1;1;1;1;1;1;0;0;0;4;3;5;5;5;1;;;;2;2;;2;3;2;62;2.886717952;2.96387272;3.0855914;2.699925997;2.339176654;2.474966612;;;
1;1;0;1;1;1;1;0;1;3;3;;5;1;1;1;;1;2;1;2;1;2;1;63;29.95004793;33.05168044;35.93153221;84.65860307;92.84668989;108.7015728;119.7597625;336.4632073;271.7270007
